"Name","Age","Gender","Admission Test Score","High School Percentage","City","Admission Status"
"Shehroz","24.00","Female","50.00","68.90","Quetta","Rejected"
"Waqar","21.00","Female","99.00","60.73","Karachi",""
"Bushra","17.00","Male","89.00","","Islamabad","Accepted"
"Aliya","17.00","","55.00","85.29","Karachi","Rejected"
"Bilal","20.00","Male","65.00","61.13","Lahore",""
"Murtaza","23.00","Female","","","Islamabad","Accepted"
"Asad","18.00","Male","","97.31","Multan","Accepted"
"Rabia  ","20.00","Female","82.00","55.67","Lahore","Accepted"
"Rohail","17.00","Male","64.00","","Karachi","Accepted"
"Kamran","18.00","Male","53.00","98.98","Multan","Rejected"
"Shafiq","17.00","Male","78.00","114.00","Quetta","Rejected"
"Nashit","18.00","Male","89.00","","Lahore","Accepted"
"","19.00","Male","149.00","87.12","",""
"Ahmed","21.00","Male","62.00","79.03","Karachi","Accepted"
"Fareeha","22.00","Male","86.00","50.77","Islamabad","Rejected"
"Saim","19.00","Male","84.00","97.19","Peshawar","accept"
"Mahnoor","","Male","61.00","74.08","Islamabad","Rejected"
"Uzma","17.00","Female","96.00","93.34","Karachi","Rejected"
"Maryam","19.00","Female","74.00","70.26","Lahore","Accepted"
"","19.00","Male","84.00","","Islamabad","Rejected"
"Waqar","22.00","Male","77.00","94.02","Peshawar","Rejected"
"Fatima","","Female","79.00","73.23","","Rejected"
"Kamran","18.00","Male","53.00","98.98","Multan","Rejected"
"Aliya","-1.00","Male","101.00","54.59","",""
"","21.00","Male","82.00","97.21","Karachi","Rejected"
"Shayan","1.00","Male","","","Lahore","Rejected"
"Imran","20.00","Female","76.00","69.27","Peshawar","Rejected"
"Anum","20.00","Female","96.00","62.44","Quetta","Rejected"
"Bushra","17.00","Male","89.00","78.57","Islamabad",""
"Laiba","22.00","Female","57.00","121.00","Rawalpindi","Accepted"
"Ali","17.00","Male","74.00","56.38","Rawalpindi","Rejected"
"Rehan","19.00","femal","-5.00","61.91","Quetta","Rejected"
"Zara","24.00","Female","65.00","91.14","Multan","Rejected"
"Fatima","24.00","Female","66.00","74.80","Peshawar","Rejected"
"Shayan","24.00","Male","58.00","85.41","Multan","Rejected"
"Feroze","23.00","Female","51.00","","","Accepted"
"Ayesha","24.00","Male","94.00","98.43","Multan","Rejected"
"Lubna","21.00","Female","89.00","82.57","Multan","Rejected"
"Ali","17.00","","74.00","56.38","Rawalpindi","Acceptd"
"Aliya","23.00","Male","50.00","85.25","Rawalpindi","Accepted"
"Rohail","23.00","","78.00","75.05","Quetta",""
"Feroze","22.00","Female","50.00","88.36","Quetta","Rejected"
"Wajeeha","21.00","Male","63.00","74.83","Islamabad","Accepted"
"Waqar","21.00","Female","99.00","60.73","Karachi","Accepted"
"Maham","19.00","Female","52.00","16.00","Multan","Accepted"
"Qasim","17.00","Female","95.00","68.89","Quetta","Rejected"
"Mehwish","24.00","Female","84.00","94.33","Multan","Accepted"
"Maryam","19.00","Female","74.00","110.50","Lahore","Accepted"
"","23.00","Female","","75.05","Queta","Accepted"
"Zara","18.00","Female","72.30","65.57","Karachi","Rejected"
"Shehroz","-1.00","Female","61.00","69.48","Quetta","Rejected"
"Fatima","20.00","Male","73.00","62.50","Karachi",""
"Ahmed","21.00","Male","62.00","79.03","Karachi","Accepted"
"Afshan","23.00","","98.00","","","Rejected"
"Shehroz","22.00","Female","72.00","97.84","Lahore","Rejected"
"Sara","19.00","Male","68.00","93.16","Multan","Accepted"
"Zara","18.00","Male","52.00","91.02","Multan","Accepted"
"Hafsa","23.00","Female","79.00","52.39","","Accepted"
"Adeel","20.00","Female","70.00","93.36","Lahore","Accepted"
"Bilal","23.00","Female","97.00","70.90","Peshawar","Rejected"
"Rohail","19.00","Female","54.00","52.79","Quetta","Accepted"
"Hamza","22.00","Male","99.00","86.58","Multan","Accepted"
"Fahad","23.00","Male","93.00","90.35","Peshawar","Accepted"
"Farhan","20.00","Female","75.00","79.59","Rawalpindi","Accepted"
"Shoaib","23.00","Male","97.00","54.71","Karachi","Rejected"
"","17.00","Female","","54.16","Islamabad","Rejected"
"","","Female","79.00","75.67","",""
"Khurram","17.00","Male","","0.00","Rawalpindi",""
"Maryam","22.00","Female","","69.83","Karachi","Rejected"
"Tuba","17.00","Female","75.00","78.43","Peshawar","Accepted"
"Hafsa","17.00","Male","73.00","63.70","Rawalpindi","Accepted"
"Laiba","20.00","Male","77.00","52.67","Islamabad","Rejected"
"","21.00","Male","95.00","84.20","Islamabad",""
"Shafiq","18.00","","84.60","81.30","Quetta","Accepted"
"Afshan  ","23.00","Female","98.00","","Peshawar","Rejected"
"Kamran","21.00","Male","73.00","96.67","Peshawar","Rejected"
"Sajjad","39.00","","90.00","63.04","Quetta","Accepted"
"Tuba","18.00","Female","89.00","71.30","Karachi","Accepted"
"Kashif","20.00","","91.00","91.03","Karachi","Accepted"
"Muneera","19.00","Female","81.00","67.75","Karachi","Rejected"
"Mehwish","18.00","Female","72.00","67.51","Quetta","Accepted"
"Lubna","","Female","89.00","82.57","Multan","Rejected"
"Muzammil","24.00","Female","97.00","62.68","Lahore","Accepted"
"Sara","19.00","Female","97.00","86.00","Quetta","Accepted"
"","20.00","Male","96.00","51.95","Peshawar","Rejected"
"Maryam","","Female","99.00","93.99","Islamabad","Accepted"
"Maham","22.00","Female","88.00","98.38","Peshawar","Rejected"
"Uzma","22.00","Male","69.00","83.99","Quetta",""
"Laiba","","Female","70.10","81.82","Rawalpindi","Accepted"
"Aliya","17.00","Male","55.00","79.47","karachi","Rejected"
"","-1.00","Male","66.00","79.07","Rawalpindi","Rejected"
"Maryam","17.00","Male","78.00","77.40","Quetta","Accepted"
