Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status
Shehroz,24.0,Female,50.0,68.9,Quetta,Rejected
Waqar,21.0,Female,99.0,60.73,Karachi,
Bushra,17.0,Male,89.0,,Islamabad,Accepted
Aliya,17.0,,55.0,85.29,Karachi,Rejected
Bilal,20.0,Male,65.0,61.13,Lahore,
Murtaza,23.0,Female,,,Islamabad,Accepted
Asad,18.0,Male,,97.31,Multan,Accepted
Rabia  ,20.0,Female,82.0,55.67,Lahore,Accepted
Rohail,17.0,Male,64.0,,Karachi,Accepted
Kamran,18.0,Male,53.0,98.98,Multan,Rejected
Shafiq,17.0,Male,78.0,-10.0,Quetta,Rejected
Nashit,18.0,Male,89.0,,Lahore,Accepted
,19.0,Male,149.0,87.12,,
Ahmed,21.0,Male,62.0,79.03,Karachi,Accepted
Fareeha,22.0,Male,86.0,50.77,Islamabad,Rejected
Saim,19.0,Male,84.0,97.19,Peshawar,accept
Mahnoor,,Male,61.0,74.08,Islamabad,Rejected
Uzma,17.0,Female,96.0,93.34,Karachi,Rejected
Maryam,19.0,Female,74.0,70.26,Lahore,Accepted
,19.0,Male,84.0,,Islamabad,Rejected
Waqar,22.0,Male,77.0,94.02,Peshawar,Rejected
Fatima,,Female,79.0,73.23,,Rejected
Kamran,18.0,Male,53.0,98.98,Multan,Rejected
Aliya,-1.0,Male,101.0,54.59,,
,21.0,Male,82.0,97.21,Karachi,Rejected
Shayan,1.0,Male,,,Lahore,Rejected
Imran,20.0,Female,76.0,69.27,Peshawar,Rejected
Anum,20.0,Female,96.0,62.44,Quetta,Rejected
Bushra,17.0,Male,89.0,78.57,Islamabad,
Laiba,22.0,Female,57.0,,Rawalpindi,Accepted
Ali,17.0,Male,74.0,56.38,Rawalpindi,Rejected
Rehan,19.0,femal,-5.0,61.91,Quetta,Rejected
Zara,24.0,Female,65.0,91.14,Multan,Rejected
Fatima,24.0,Female,66.0,74.8,Peshawar,Rejected
Shayan,24.0,Male,58.0,85.41,Multan,Rejected
Feroze,23.0,Female,51.0,,,Accepted
Ayesha,24.0,Male,94.0,98.43,Multan,Rejected
Lubna,21.0,Female,89.0,82.57,Multan,Rejected
Ali,17.0,,74.0,56.38,Rawalpindi,Acceptd
Aliya,23.0,Male,50.0,85.25,Rawalpindi,Accepted
Rohail,23.0,,78.0,75.05,Quetta,
Feroze,22.0,Female,50.0,88.36,Quetta,Rejected
Wajeeha,21.0,Male,63.0,74.83,Islamabad,Accepted
Waqar,21.0,Female,99.0,60.73,Karachi,Accepted
Maham,19.0,Female,52.0,,Multan,Accepted
Qasim,17.0,Female,95.0,68.89,Quetta,Rejected
Mehwish,24.0,Female,84.0,94.33,Multan,Accepted
Maryam,19.0,Female,74.0,110.5,Lahore,Accepted
,23.0,Female,,75.05,Queta,Accepted
Zara,18.0,Female,72.3,65.57,Karachi,Rejected
Shehroz,-1.0,Female,61.0,69.48,Quetta,Rejected
Fatima,20.0,Male,73.0,62.5,Karachi,
Ahmed,21.0,Male,62.0,79.03,Karachi,Accepted
Afshan,23.0,,98.0,,,Rejected
Shehroz,22.0,Female,72.0,97.84,Lahore,Rejected
Sara,19.0,Male,68.0,93.16,Multan,Accepted
Zara,18.0,Male,52.0,91.02,Multan,Accepted
Hafsa,23.0,Female,79.0,52.39,,Accepted
Adeel,20.0,Female,70.0,93.36,Lahore,Accepted
Bilal,23.0,Female,97.0,70.9,Peshawar,Rejected
Rohail,19.0,Female,54.0,52.79,Quetta,Accepted
Hamza,22.0,Male,99.0,86.58,Multan,Accepted
Fahad,23.0,Male,93.0,90.35,Peshawar,Accepted
Farhan,20.0,Female,75.0,79.59,Rawalpindi,Accepted
Shoaib,23.0,Male,97.0,54.71,Karachi,Rejected
,17.0,Female,,54.16,Islamabad,Rejected
,NULL,Female,79.0,75.67,,
Khurram,17.0,Male,,0.0,Rawalpindi,
Maryam,22.0,Female,,69.83,Karachi,Rejected
Tuba,17.0,Female,75.0,78.43,Peshawar,Accepted
Hafsa,17.0,Male,73.0,63.7,Rawalpindi,Accepted
Laiba,20.0,Male,77.0,52.67,Islamabad,Rejected
,21.0,Male,95.0,84.2,Islamabad,
Shafiq,18.0,,84.6,81.3,Quetta,Accepted
Afshan  ,23.0,Female,98.0,,Peshawar,Rejected
Kamran,21.0,Male,73.0,96.67,Peshawar,Rejected
Sajjad,,,90.0,63.04,Quetta,Accepted
Tuba,18.0,Female,89.0,71.3,Karachi,Accepted
Kashif,20.0,,91.0,91.03,Karachi,Accepted
Muneera,19.0,Female,81.0,67.75,Karachi,Rejected
Mehwish,18.0,Female,72.0,67.51,Quetta,Accepted
Lubna,,Female,89.0,82.57,Multan,Rejected
Muzammil,24.0,Female,97.0,62.68,Lahore,Accepted
Sara,19.0,Female,97.0,86.0,Quetta,Accepted
,20.0,Male,96.0,51.95,Peshawar,Rejected
Maryam,,Female,99.0,93.99,Islamabad,Accepted
Maham,22.0,Female,88.0,98.38,Peshawar,Rejected
Uzma,22.0,Male,69.0,83.99,Quetta,
Laiba,,Female,70.1,81.82,Rawalpindi,Accepted
Aliya,17.0,Male,55.0,79.47,karachi,Rejected
,-1.0,Male,66.0,79.07,Rawalpindi,Rejected
Maryam,17.0,Male,78.0,77.4,Quetta,Accepted
Umar,22.0,Male,150.0,,,Rejected
,20.0,Female,86.0,89.06,Karachi,Accepted
Rehan,22.0,Male,51.0,67.03,Lahore,Rejected
Farzana,22.0,,82.0,78.3,Multan,Accepted
Nida,,,84.0,91.92,Quetta,Rejected
Muneera,19.0,Female,-28.0,67.75,Karachi,Rejected
Rohail,20.0,Female,72.0,66.83,Multan,Rejected
Shehroz,23.0,Female,82.0,83.86,Karachi,Rejected
Imran,19.0,Female,90.4,64.88,Multan,Accepted
Farhan,22.0,Female,65.0,76.72,Multan,Rejected
Shehroz,24.0,Male,72.0,90.05,Karachi,Accepted
Asma,22.0,Female,81.0,68.86,Islamabad,Accepted
Tariq,19.0,Female,96.0,40.7,Rawalpindi,Rejected
Sara,22.0,,95.0,60.33,Islamabad,Rejected
Junaid,17.0,Male,56.0,93.36,Karachi,Rejected
Mehwish,23.4,Female,91.0,57.33,Rawalpindi,
Zunaira,20.0,Female,98.0,,Quetta,Accepted
Hania,24.0,Female,83.0,97.93,Quetta,Rejected
Mehwish,18.0,Female,72.0,67.51,,Accepted
Hamza,22.0,Male,99.0,86.58,Multan,Accepted
Adeel,24.0,Male,71.0,74.65,Lahore,Accepted
Tariq,17.0,Female,95.7,67.09,Peshawar,Accepted
Zunaira,-1.0,Female,84.0,58.77,Quetta,Rejected
Qasim,17.0,,92.0,51.96,Lahore,Accepted
Maham,23.0,Male,94.0,,Karachi,Rejected
Aqsa,23.0,Female,,86.5,,Accepted
Daniyal,24.0,Female,77.0,67.32,,Rejected
Lubna,22.0,Male,74.0,90.56,Rawalpindi,Accepted
Junaid,23.0,Female,94.0,61.93,Peshawar,Accepted
Ayesha,24.0,Male,94.0,98.43,Multan,Rejected
Muneera,23.0,Male,77.0,57.93,Karachi,Rejected
Tuba,17.0,Female,75.0,78.43,Peshawar,Accepted
Bushra,18.0,Female,93.0,99.8,Islamabad,Rejected
Hania,,Female,129.0,71.78,,Accepted
Hania,18.0,Female,,61.83,,Accepted
Feroze,17.0,Male,91.0,71.17,Karachi,Rejected
Hassan,24.0,,79.0,,Karachi,Accepted
Zunaira,19.0,Female,75.0,66.26,Peshawar,Rejected
Aliya,19.0,Male,69.2,91.85,Islamabad,Rejected
Asad,20.0,Female,49.2,,Peshawar,Rejected
Shafiq,,Male,65.8,82.49,Quetta,Rejected
Maaz,20.0,Male,58.0,96.83,Peshawar,
Ali,NULL,Male,71.0,80.91,Lahore,Rejected
Shahzad,24.0,Female,74.0,74.13,Multan,Rejected
Hafsa,,Male,55.0,97.46,Quetta,Rejected
Asad,,Female,82.0,67.42,Lahore,Accepted
Asad,21.0,Male,,97.21,Karachi,Rejected
Qasim,23.0,Female,83.0,73.68,Quetta,Accepted
Shehroz,19.0,Male,,56.43,Rawalpindi,
Feroze,23.0,Female,51.0,92.36,Rawalpindi,Accepted
Laiba,21.0,Female,76.0,,Karachi,Rejected
Sana,22.0,Female,91.0,84.08,Quetta,Rejected
Zarina,19.0,Female,,71.72,Quetta,Rejected
Sana,21.0,Female,53.0,,Rawalpindi,Rejected
,23.0,Female,93.0,,Karachi,Accepted
Nimra,17.0,Female,68.0,61.66,,Rejected
Hammad,24.0,Female,71.0,83.84,Lahore,Accepted
,24.0,Female,50.0,87.0,Peshawar,Accepted
,21.0,,86.0,95.38,Quetta,Accepted
,,Male,89.0,84.64,Lahore,Accepted
Asad,20.0,Female,114.0,52.4,Rawalpindi,Rejected
Ali,19.0,Female,85.0,78.09,Quetta,Accepted
Bilal,17.5,Female,81.0,84.4,Islamabad,Rejected
Fatima,21.0,Female,98.0,,Multan,Accepted
Shoaib,-1.0,Male,91.0,80.12,Quetta,Accepted
Maaz,17.0,Male,88.0,86.85,Lahore,Accepted
Shamsiddin,22.0,Male,68.3,57.37,Rawalpindi,accept
Faisal,16.0,MALE,154.0,84.47,Quetta,Accepted
Gulnora,21.0,Female,87.5,73.48,Karachi,Accepted
Kamola,16.0,Female,51.9,63.95,Quetta,Rejected
Dilnoza,20.0,Female,83.8,62.41,Multan,Accepted
Danyal,20.0,Male,73.3,73.11,Lahore,Rejected
Muazzam,17.0,Female,-50.0,58.29,Rawalpindi,Rejected
Saima,20.8,Female,83.8,87.2,Lahore,Accepted
Sardor,21.0,Male,78.1,71.3,Karachi,Rejected
Shazia,21.0,Female,50.9,79.21,Quetta,Rejected
Abbos,19.0,Male,80.0,85.78,Quetta,Accepted
Sardor,19.0,Male,61.7,47.88,Peshawar,Rejected
Sherzod,24.0,Male,65.9,73.72,Quetta,Rejected
Babar,23.0,Male,100.0,40.0,Islamabad,Accepted
Shahnoza,21.0,Female,74.9,40.0,Lahore,Rejected
Eldor,18.0,Male,94.5,53.78,Rawalpindi,Accepted
Shahid,23.0,Male,83.2,84.16,Karachi,Accepted
Ozoda,16.0,Female,87.6,70.96,Islamabad,Accepted
Hafsa,20.0,Female,99.1,67.07,Lahore,Accepted
Tariq,19.0,Male,91.5,74.48,Lahore,Accepted
Shoira,18.0,Female,64.3,98.48,Quetta,Accepted
Aliya,23.0,Female,62.9,63.96,Quetta,Rejected
Nasir,21.0,Male,100.0,85.45,Lahore,Accepted
Mehwish,20.0,Female,67.1,99.0,Multan,Accepted
Rabia,20.0,Female,100.0,74.2,Multan,Accepted
Nadia,19.0,Female,78.5,59.03,Peshawar,Rejected
Omer,20.0,Male,89.2,91.48,Quetta,Accepted
Sana,19.0,Female,73.7,83.91,Islamabad,Accepted
Mansur,16.0,Male,64.9,131.99,Quetta,Rejected
Muzammil,19.5,,77.5,79.4,Lahore,Accepted
Sherzod,,Male,72.2,74.04,Rawalpindi,Accepted
Zunaira,21.0,Female,96.1,88.85,Karachi,Accepted
Gulnora,18.0,Female,76.7,99.0,Lahore,Accepted
Kashif,21.0,Male,152.0,40.0,Lahore,Accepted
Muniba,22.0,Female,,89.64,Lahore,Accepted
Rabia,20.0,Female,91.9,87.64,Islamabad,Accepted
Nodir,20.0,Male,69.9,82.43,Karachi,accept
Malika,22.0,Female,92.6,83.53,Quetta,Accepted
Saqib,22.0,Male,83.3,60.19,Islamabad,Accepted
Shehroz,18.0,Male,97.8,77.61,Peshawar,Accepted
Sanjar,18.0,Male,78.7,61.63,Karachi,Rejected
Ibrohim,20.0,Male,71.7,99.0,Islamabad,Accepted
Sumera,20.0,Female,98.2,83.9,Islamabad,Accepted
Tayyaba,19.0,Female,51.1,79.84,Rawalpindi,Rejected
Mahnoor,20.0,Female,58.6,99.0,Karachi,Rejected
Abbos,20.0,Male,71.6,68.3,Islamabad,Rejected
Danyal,19.0,,69.1,69.45,Islamabad,Rejected
Ahmed,21.7,Male,78.4,99.0,Quetta,Accepted
Hafsa,16.0,Female,93.3,83.47,Karachi,Accepted
,25.0,Female,98.6,70.65,Karachi,Accepted
Mirzo,19.0,Male,78.8,73.98,Islamabad,Accepted
Saqib,21.0,Male,97.9,63.61,Lahore,Accepted
Feruza,16.0,Female,100.0,81.42,Islamabad,Accepted
Faisal,19.0,Male,79.7,78.2,Karachi,Accepted
Lochinbek,22.0,Male,55.5,52.22,Peshawar,Rejected
Iqbol,18.0,Female,81.3,-9.9,Multan,Accepted
Javlon,22.1,Male,86.4,81.95,Karachi,Accepted
Shoira,21.0,Female,76.6,99.0,Multan,Accepted
Eldor,23.0,Male,69.6,71.55,Rawalpindi,Rejected
Hamza,19.0,Male,82.4,83.21,Lahore,Accepted
Otabek,24.0,Male,,88.32,Lahore,Rejected
Mohira,20.0,Female,99.2,88.81,Karachi,Accepted
Rukhsana,,Female,55.3,60.37,Lahore,Rejected
Sara,23.0,Female,70.0,66.83,Peshawar,Rejected
Nodir,16.0,Male,59.6,90.15,Karachi,Accepted
Rukhsana,18.0,,60.7,85.58,Rawalpindi,Rejected
Hulkar,17.9,Female,68.0,84.37,Karachi,Rejected
Rukhsana,0.0,Female,82.9,72.86,Karachi,Accepted
,19.7,,82.2,95.59,Islamabad,Accepted
Muhabbat,18.0,Female,82.0,74.61,Islamabad,Accepted
Kashif,18.0,Male,89.6,99.0,Karachi,Accepted
Fareeha,22.0,Female,72.2,87.08,Quetta,Accepted
Arslan,18.0,Male,87.4,85.32,Islamabad,Accepted
Muzammil,23.0,Male,67.8,53.97,Karachi,Rejected
Saima,19.0,Female,74.8,99.0,Islamabad,Accepted
Ayesha,17.0,Female,89.2,88.38,Karachi,Accepted
Fareeha,23.0,Female,94.0,61.26,Islamabad,Accepted
Nimra,20.0,Female,70.8,53.01,Multan,Rejected
Muhabbat,18.0,Female,60.2,94.18,Karachi,Accepted
Arslan,20.0,Male,50.3,49.33,Quetta,Rejected
Javed,22.0,Male,92.3,82.41,Rawalpindi,Accepted
Yulduz,22.0,Female,72.6,69.44,Rawalpindi,
Amna,18.0,Female,78.8,74.2,Islamabad,Accepted
Shafiq,19.0,Male,60.1,81.04,Lahore,Rejected
Hafsa,23.0,Female,81.5,64.44,Rawalpindi,Accepted
Gulnora,22.0,Female,64.9,87.24,Islamabad,Rejected
Waleed,20.0,Male,89.7,75.96,Karachi,Accepted
Ahmed,19.0,Male,77.1,58.85,Peshawar,Rejected
Nilufar,19.0,Female,61.8,60.45,Peshawar,Rejected
Dilnoza,20.0,Female,93.4,49.74,Quetta,Accepted
Muzammil,20.0,Male,73.4,76.23,Lahore,Accepted
Umida,19.0,Female,65.9,88.65,Quetta,Accepted
Sitora,20.0,Female,77.2,94.55,Islamabad,Accepted
Hassan,18.0,Male,55.4,94.93,Peshawar,Rejected
Zainab,21.0,Female,68.5,82.7,Quetta,Accepted
Temur,20.0,Male,76.3,56.74,Peshawar,Rejected
Talha,21.0,Male,66.7,99.0,Peshawar,Rejected
Kamran,,Male,114.0,85.98,Rawalpindi,Accepted
Nasiba,23.0,Female,84.6,78.41,Islamabad,Accepted
Shafiq,21.0,Male,78.7,99.0,Karachi,Accepted
Gulnora,35.0,Female,92.8,74.27,Multan,Accepted
Muslimbek,17.0,Male,78.6,77.19,Quetta,Accepted
Malika,,Female,99.3,91.57,Peshawar,Accepted
Sumera,,Female,75.0,70.93,Quetta,Rejected
Danyal,19.0,Male,93.4,59.48,Karachi,Accepted
Asilbek,21.0,Male,76.3,76.78,,Accepted
Zainab,20.0,Female,85.2,80.9,Karachi,Accepted
Javed,20.0,Male,83.9,93.26,Lahore,Accepted
Fahad,17.0,Male,90.0,71.02,Peshawar,Accepted
Nodir,23.0,Male,68.1,99.0,Rawalpindi,Accepted
Talha,22.0,Male,89.6,46.0,Lahore,Acceptd
Javlon,55.0,Male,93.9,99.0,Karachi,Accepted
Malika,20.0,Female,59.8,52.62,Quetta,Rejected
Ibrohim,21.0,Male,70.4,89.91,Rawalpindi,Accepted
Noor,18.0,Female,76.2,72.74,Karachi,Accepted
Fatima,18.0,Female,50.4,84.35,Islamabad,Rejected
Zara,18.0,,71.5,99.0,Rawalpindi,Accepted
Tahir,18.0,Male,80.7,99.0,Islamabad,Accepted
Shahid,16.0,Male,75.5,97.61,Lahore,Accepted
Nasir,20.0,Male,100.0,61.59,Peshawar,Accepted
Ali,21.0,Male,100.0,,Lahore,Accepted
Sarvinoz,17.0,Female,99.5,91.01,Karachi,Accepted
Rida,23.0,Female,70.4,81.22,Quetta,
Bekzod,22.0,Male,117.0,95.37,Multan,Accepted
Behruz,16.0,Male,,74.7,Islamabad,Accepted
Sarvinoz,20.0,Female,64.1,46.01,Quetta,Rejected
Nashit,20.0,Female,59.0,86.97,Karachi,Rejected
Nilufar,21.0,Female,68.0,66.11,Multan,Rejected
,21.0,Male,53.3,56.84,Multan,Rejected
Rohail,21.0,Male,79.5,90.73,Lahore,
Iqra,21.0,Female,69.2,81.27,Islamabad,reject
Sobia,19.0,Female,73.2,66.8,Multan,Rejected
Hassan,18.0,Male,67.1,,Multan,Rejected
Amna,18.0,Female,78.3,96.69,Multan,Accepted
Aisha,19.0,Female,77.3,88.25,Lahore,Accepted
Sanjar,22.0,Male,94.6,92.55,,Accepted
Sumera,22.0,Female,95.3,49.38,Karachi,Accepted
Ali,18.0,Male,90.3,,Multan,Accepted
Nisha,18.0,Female,67.2,67.77,Rawalpindi,Rejected
Ayesha,19.0,Female,87.5,98.36,Karachi,Accepted
Haris,17.0,Male,77.2,84.05,,Accepted
Nashit,19.0,Female,100.0,76.47,,Accepted
Sarvarbek,17.0,Male,56.9,83.72,Multan,Rejected
,17.0,Male,80.6,69.68,Multan,Rejected
Waleed,16.0,Male,30.0,67.95,Quetta,Rejected
,21.0,Male,82.5,85.54,Lahore,Accepted
Aliya,20.0,Female,96.2,71.74,Lahore,Accepted
Javed,22.0,Male,96.7,49.99,Rawalpindi,Accepted
Dilovar,17.0,Male,80.6,78.0,Peshawar,Accepted
Faisal,17.0,Male,51.4,71.45,Islamabad,Rejected
Sidra,19.9,FEMALE,100.0,79.57,Rawalpindi,Accepted
Sardor,20.0,Male,77.9,69.27,Islamabad,Accepted
Haris,24.0,Male,100.0,76.48,Karachi,Accepted
Dilovar,17.0,Male,93.6,46.28,Lahore,Accepted
Mehwish,20.0,Female,57.9,,Multan,Rejected
Naeem,18.0,Male,93.4,94.37,Multan,Accepted
Temur,18.0,Male,96.2,71.93,Quetta,Accepted
Sarvarbek,18.0,Male,,81.39,Peshawar,Rejected
Amjad,22.0,Male,76.2,59.26,Lahore,Rejected
Amjad,19.0,Male,89.5,77.53,Lahore,
Muzammil,22.0,Male,52.6,81.88,Rawalpindi,Rejected
Nashit,20.0,Female,53.3,49.41,Rawalpindi,Rejected
Gulnora,21.0,Female,80.8,77.04,Multan,Accepted
Waqar,20.0,Male,47.8,99.0,Islamabad,Rejected
Ali,20.0,Male,80.1,69.05,Islamabad,Accepted
Shamsiddin,21.0,Male,,59.61,Karachi,Rejected
Nargiza,22.0,Female,87.4,66.92,Rawalpindi,Accepted
Rukhsana,19.0,Female,73.5,53.34,Peshawar,Rejected
Saim,20.0,Male,100.0,80.58,Islamabad,Accepted
,19.0,Male,80.6,83.77,Quetta,Accepted
Sarvarbek,22.0,Male,85.9,68.79,Karachi,Rejected
Irfan,24.0,Male,92.4,99.0,Lahore,Accepted
Mohira,18.0,Female,83.5,60.29,Lahore,Accepted
